OBJECTID,GIS_ID,NAME,WEB_URL,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
77,VotePrecinctPly_8,Precinct 41,https://www.dcboe.org/,,,,,0,0
78,VotePrecinctPly_129,Precinct 42,https://www.dcboe.org/,,,,,0,0
79,VotePrecinctPly_9,Precinct 71,https://www.dcboe.org/,,,,,0,0
80,VotePrecinctPly_130,Precinct 70,https://www.dcboe.org/,,,,,0,0
81,VotePrecinctPly_131,Precinct 73,https://www.dcboe.org/,,,,,0,0
82,VotePrecinctPly_104,Precinct 74,https://www.dcboe.org/,,,,,0,0
83,VotePrecinctPly_113,Precinct 136,https://www.dcboe.org/,,,,,0,0
84,VotePrecinctPly_105,Precinct 38,https://www.dcboe.org/,,,,,0,0
85,VotePrecinctPly_114,Precinct 26,https://www.dcboe.org/,,,,,0,0
86,VotePrecinctPly_106,Precinct 12,https://www.dcboe.org/,,,,,0,0
87,VotePrecinctPly_116,Precinct 39,https://www.dcboe.org/,,,,,0,0
88,VotePrecinctPly_1,Precinct 139,https://www.dcboe.org/,,,,,0,0
89,VotePrecinctPly_117,Precinct 72,https://www.dcboe.org/,,,,,0,0
90,VotePrecinctPly_118,Precinct 36,https://www.dcboe.org/,,,,,0,0
91,VotePrecinctPly_3,Precinct 37,https://www.dcboe.org/,,,,,0,0
92,VotePrecinctPly_119,Precinct 20,https://www.dcboe.org/,,,,,0,0
93,VotePrecinctPly_120,Precinct 35,https://www.dcboe.org/,,,,,0,0
94,VotePrecinctPly_4,Precinct 135,https://www.dcboe.org/,,,,,0,0
95,VotePrecinctPly_121,Precinct 11,https://www.dcboe.org/,,,,,0,0
96,VotePrecinctPly_122,Precinct 23,https://www.dcboe.org/,,,,,0,0
97,VotePrecinctPly_5,Precinct 25,https://www.dcboe.org/,,,,,0,0
98,VotePrecinctPly_123,Precinct 24,https://www.dcboe.org/,,,,,0,0
99,VotePrecinctPly_124,Precinct 13,https://www.dcboe.org/,,,,,0,0
100,VotePrecinctPly_125,Precinct 22,https://www.dcboe.org/,,,,,0,0
101,VotePrecinctPly_115,Precinct 7,https://www.dcboe.org/,,,,,0,0
102,VotePrecinctPly_7,Precinct 5,https://www.dcboe.org/,,,,,0,0
103,VotePrecinctPly_126,Precinct 92,https://www.dcboe.org/,,,,,0,0
104,VotePrecinctPly_127,Precinct 137,https://www.dcboe.org/,,,,,0,0
105,VotePrecinctPly_143,Precinct 76,https://www.dcboe.org/,,,,,0,0
106,VotePrecinctPly_17,Precinct 6,https://www.dcboe.org/,,,,,0,0
107,VotePrecinctPly_42,Precinct 78,https://www.dcboe.org/,,,,,0,0
108,VotePrecinctPly_43,Precinct 141,https://www.dcboe.org/,,,,,0,0
109,VotePrecinctPly_18,Precinct 19,https://www.dcboe.org/,,,,,0,0
110,VotePrecinctPly_44,Precinct 14,https://www.dcboe.org/,,,,,0,0
111,VotePrecinctPly_45,Precinct 21,https://www.dcboe.org/,,,,,0,0
112,VotePrecinctPly_46,Precinct 15,https://www.dcboe.org/,,,,,0,0
113,VotePrecinctPly_57,Precinct 105,https://www.dcboe.org/,,,,,0,0
114,VotePrecinctPly_58,Precinct 107,https://www.dcboe.org/,,,,,0,0
115,VotePrecinctPly_62,Precinct 128,https://www.dcboe.org/,,,,,0,0
116,VotePrecinctPly_59,Precinct 91,https://www.dcboe.org/,,,,,0,0
117,VotePrecinctPly_60,Precinct 90,https://www.dcboe.org/,,,,,0,0
